u,v,u_adcode,v_adcode,u_reach,v_reach,u_prov,v_prov,cross_reach,cross_province
0,10,310101,310115,downstream,downstream,Shanghai,Shanghai,False,False
0,1,310101,310104,downstream,downstream,Shanghai,Shanghai,False,False
0,3,310101,310106,downstream,downstream,Shanghai,Shanghai,False,False
0,5,310101,310109,downstream,downstream,Shanghai,Shanghai,False,False
1,7,310104,310112,downstream,downstream,Shanghai,Shanghai,False,False
1,10,310104,310115,downstream,downstream,Shanghai,Shanghai,False,False
1,2,310104,310105,downstream,downstream,Shanghai,Shanghai,False,False
1,3,310104,310106,downstream,downstream,Shanghai,Shanghai,False,False
2,7,310105,310112,downstream,downstream,Shanghai,Shanghai,False,False
2,4,310105,310107,downstream,downstream,Shanghai,Shanghai,False,False
2,3,310105,310106,downstream,downstream,Shanghai,Shanghai,False,False
2,9,310105,310114,downstream,downstream,Shanghai,Shanghai,False,False
3,4,310106,310107,downstream,downstream,Shanghai,Shanghai,False,False
3,5,310106,310109,downstream,downstream,Shanghai,Shanghai,False,False
3,8,310106,310113,downstream,downstream,Shanghai,Shanghai,False,False
4,9,310107,310114,downstream,downstream,Shanghai,Shanghai,False,False
4,8,310107,310113,downstream,downstream,Shanghai,Shanghai,False,False
5,10,310109,310115,downstream,downstream,Shanghai,Shanghai,False,False
5,6,310109,310110,downstream,downstream,Shanghai,Shanghai,False,False
5,8,310109,310113,downstream,downstream,Shanghai,Shanghai,False,False
6,10,310110,310115,downstream,downstream,Shanghai,Shanghai,False,False
6,8,310110,310113,downstream,downstream,Shanghai,Shanghai,False,False
7,14,310112,310120,downstream,downstream,Shanghai,Shanghai,False,False
7,12,310112,310117,downstream,downstream,Shanghai,Shanghai,False,False
7,13,310112,310118,downstream,downstream,Shanghai,Shanghai,False,False
7,10,310112,310115,downstream,downstream,Shanghai,Shanghai,False,False
7,9,310112,310114,downstream,downstream,Shanghai,Shanghai,False,False
8,10,310113,310115,downstream,downstream,Shanghai,Shanghai,False,False
8,9,310113,310114,downstream,downstream,Shanghai,Shanghai,False,False
8,58,310113,320585,downstream,downstream,Shanghai,Jiangsu,False,True
9,13,310114,310118,downstream,downstream,Shanghai,Shanghai,False,False
9,57,310114,320583,downstream,downstream,Shanghai,Jiangsu,False,True
9,58,310114,320585,downstream,downstream,Shanghai,Jiangsu,False,True
10,182,310115,330922,downstream,downstream,Shanghai,Zhejiang,False,True
10,14,310115,310120,downstream,downstream,Shanghai,Shanghai,False,False
11,151,310116,330482,downstream,downstream,Shanghai,Zhejiang,False,True
11,148,310116,330421,downstream,downstream,Shanghai,Zhejiang,False,True
11,14,310116,310120,downstream,downstream,Shanghai,Shanghai,False,False
11,12,310116,310117,downstream,downstream,Shanghai,Shanghai,False,False
11,13,310116,310118,downstream,downstream,Shanghai,Shanghai,False,False
12,14,310117,310120,downstream,downstream,Shanghai,Shanghai,False,False
12,13,310117,310118,downstream,downstream,Shanghai,Shanghai,False,False
13,148,310118,330421,downstream,downstream,Shanghai,Zhejiang,False,True
13,54,310118,320509,downstream,downstream,Shanghai,Jiangsu,False,True
13,57,310118,320583,downstream,downstream,Shanghai,Jiangsu,False,True
15,58,310151,320585,downstream,downstream,Shanghai,Jiangsu,False,True
15,62,310151,320681,downstream,downstream,Shanghai,Jiangsu,False,True
15,64,310151,320684,downstream,downstream,Shanghai,Jiangsu,False,True
16,19,320102,320106,downstream,downstream,Jiangsu,Jiangsu,False,False
16,23,320102,320115,downstream,downstream,Jiangsu,Jiangsu,False,False
