adcode,name_zh,level,province,reach,prefecture_zh,area_km2,county_id,ndvi_mean,n_obs,year
310101,黄浦区,district,Shanghai,downstream,,20.36624515276083,310101,0.16826213768115944,552,2020
310104,徐汇区,district,Shanghai,downstream,,55.10803170101784,310104,0.23840679487179492,1560,2020
310105,长宁区,district,Shanghai,downstream,,37.27951584829017,310105,0.31014196428571433,1008,2020
310106,静安区,district,Shanghai,downstream,,36.758432075089054,310106,0.24943295454545455,1056,2020
310107,普陀区,district,Shanghai,downstream,,55.54840752450997,310107,0.2769342039800995,1608,2020
310109,虹口区,district,Shanghai,downstream,,23.415434337517507,310109,0.23484642857142865,672,2020
310110,杨浦区,district,Shanghai,downstream,,60.48253578217381,310110,0.24629143192488262,1704,2020
310112,闵行区,district,Shanghai,downstream,,372.648690516286,310112,0.3200147569444445,10368,2020
310113,宝山区,district,Shanghai,downstream,,316.2203187770638,310113,0.29907858942065496,8734,2020
310114,嘉定区,district,Shanghai,downstream,,462.4335946875409,310114,0.35660626543209883,12960,2020
310115,浦东新区,district,Shanghai,downstream,,1697.4368227793393,310115,0.3475997128428558,40396,2020
310116,金山区,district,Shanghai,downstream,,667.8789277675044,310116,0.4112651423940726,17276,2020
310117,松江区,district,Shanghai,downstream,,606.9279081679005,310117,0.40491032051282067,17160,2020
310118,青浦区,district,Shanghai,downstream,,668.0664614129112,310118,0.38523879366106084,18552,2020
310120,奉贤区,district,Shanghai,downstream,,805.468534693142,310120,0.38586395412072977,20227,2020
310151,崇明区,district,Shanghai,downstream,,2102.4808852568317,310151,0.4120207993124195,48867,2020
320102,玄武区,district,Jiangsu,downstream,南京市,75.38699330288065,320102,0.42088650793650795,2016,2020
320104,秦淮区,district,Jiangsu,downstream,南京市,49.00462722590187,320104,0.25809180555555555,1440,2020
320105,建邺区,district,Jiangsu,downstream,南京市,79.23819011352641,320105,0.2563935931899641,2232,2020
320106,鼓楼区,district,Jiangsu,downstream,南京市,55.095619033326564,320106,0.26029893828798933,1507,2020
320111,浦口区,district,Jiangsu,downstream,南京市,908.0072300122569,320111,0.41412431391051346,25434,2020
320113,栖霞区,district,Jiangsu,downstream,南京市,390.7125100661363,320113,0.33075945745076185,10764,2020
320114,雨花台区,district,Jiangsu,downstream,南京市,130.8930750746842,320114,0.3488401416122005,3672,2020
320115,江宁区,district,Jiangsu,downstream,南京市,1565.4141641572426,320115,0.43173012763431295,43797,2020
320116,六合区,district,Jiangsu,downstream,南京市,1478.0601004123841,320116,0.430468469017276,41039,2020
320117,溧水区,district,Jiangsu,downstream,南京市,1064.9199177452813,320117,0.4157946428571428,29736,2020
320118,高淳区,district,Jiangsu,downstream,南京市,792.8519752577324,320118,0.33226556974682975,22001,2020
320205,锡山区,district,Jiangsu,downstream,无锡市,396.4060707966659,320205,0.3990645500269446,11134,2020
320206,惠山区,district,Jiangsu,downstream,无锡市,320.3640091890571,320206,0.357609681372549,8976,2020
320211,滨湖区,district,Jiangsu,downstream,无锡市,628.3323489060675,320211,0.2193064180618976,15768,2020
320213,梁溪区,district,Jiangsu,downstream,无锡市,73.66172890513377,320213,0.2554305555555556,2160,2020
320214,新吴区,district,Jiangsu,downstream,无锡市,232.93729214492208,320214,0.3301434830059246,6414,2020
320281,江阴市,district,Jiangsu,downstream,无锡市,992.639828791465,320281,0.37541307265830165,27416,2020
320282,宜兴市,district,Jiangsu,downstream,无锡市,2035.5012036349312,320282,0.39465766940024255,55239,2020
320302,鼓楼区,district,Jiangsu,downstream,徐州市,92.24878164637303,320302,0.2726545238095239,2520,2020
320303,云龙区,district,Jiangsu,downstream,徐州市,113.70952716123972,320303,0.33082424812030076,3192,2020
320305,贾汪区,district,Jiangsu,downstream,徐州市,749.5813443450234,320305,0.428937962962963,20952,2020
320311,泉山区,district,Jiangsu,downstream,徐州市,102.045861920159,320311,0.27495658724597066,2854,2020
320312,铜山区,district,Jiangsu,downstream,徐州市,1940.3269557387719,320312,0.48537275726079904,54264,2020
320321,丰县,district,Jiangsu,downstream,徐州市,1451.6458193349029,320321,0.5175264332938623,40536,2020
320322,沛县,district,Jiangsu,downstream,徐州市,1251.4236000069698,320322,0.5028599519560744,34968,2020
320324,睢宁县,district,Jiangsu,downstream,徐州市,1770.791427230218,320324,0.5104201946816692,49414,2020
320381,新沂市,district,Jiangsu,downstream,徐州市,1589.4878674322524,320381,0.4844309259969758,44309,2020
320382,邳州市,district,Jiangsu,downstream,徐州市,2078.7414565825325,320382,0.4807899695996426,58223,2020
320402,天宁区,district,Jiangsu,downstream,常州市,153.92678229660365,320402,0.3349697331460674,4272,2020
320404,钟楼区,district,Jiangsu,downstream,常州市,133.655530886535,320404,0.3324925925925926,3672,2020
320411,新北区,district,Jiangsu,downstream,常州市,506.51166624299407,320411,0.3853985634814451,14201,2020
320412,武进区,district,Jiangsu,downstream,常州市,1062.2414873534183,320412,0.3241976440863153,29288,2020
320413,金坛区,district,Jiangsu,downstream,常州市,974.8288943063533,320413,0.38033067685188576,27229,2020
320481,溧阳市,district,Jiangsu,downstream,常州市,1534.1967283897823,320481,0.45052106480940485,42787,2020
320505,虎丘区,district,Jiangsu,downstream,苏州市,338.07353030209595,320505,0.25738545825771325,8816,2020
320506,吴中区,district,Jiangsu,downstream,苏州市,2474.7398339937363,320506,0.16129005064145843,59240,2020
320507,相城区,district,Jiangsu,downstream,苏州市,485.6949711702668,320507,0.27796674969806767,13248,2020
320508,姑苏区,district,Jiangsu,downstream,苏州市,81.63607247815474,320508,0.2736382500000001,2400,2020
