adcode,name_zh,level,province,reach,prefecture_zh,area_km2,county_id
310101,黄浦区,district,Shanghai,downstream,,20.36624515276083,310101
310104,徐汇区,district,Shanghai,downstream,,55.10803170101784,310104
310105,长宁区,district,Shanghai,downstream,,37.27951584829017,310105
310106,静安区,district,Shanghai,downstream,,36.758432075089054,310106
310107,普陀区,district,Shanghai,downstream,,55.54840752450997,310107
310109,虹口区,district,Shanghai,downstream,,23.415434337517507,310109
310110,杨浦区,district,Shanghai,downstream,,60.48253578217381,310110
310112,闵行区,district,Shanghai,downstream,,372.648690516286,310112
310113,宝山区,district,Shanghai,downstream,,316.2203187770638,310113
310114,嘉定区,district,Shanghai,downstream,,462.4335946875409,310114
310115,浦东新区,district,Shanghai,downstream,,1697.4368227793393,310115
310116,金山区,district,Shanghai,downstream,,667.8789277675044,310116
310117,松江区,district,Shanghai,downstream,,606.9279081679005,310117
310118,青浦区,district,Shanghai,downstream,,668.0664614129112,310118
310120,奉贤区,district,Shanghai,downstream,,805.468534693142,310120
310151,崇明区,district,Shanghai,downstream,,2102.4808852568317,310151
320102,玄武区,district,Jiangsu,downstream,南京市,75.38699330288065,320102
320104,秦淮区,district,Jiangsu,downstream,南京市,49.00462722590187,320104
320105,建邺区,district,Jiangsu,downstream,南京市,79.23819011352641,320105
320106,鼓楼区,district,Jiangsu,downstream,南京市,55.095619033326564,320106
320111,浦口区,district,Jiangsu,downstream,南京市,908.0072300122569,320111
320113,栖霞区,district,Jiangsu,downstream,南京市,390.7125100661363,320113
320114,雨花台区,district,Jiangsu,downstream,南京市,130.8930750746842,320114
320115,江宁区,district,Jiangsu,downstream,南京市,1565.4141641572426,320115
320116,六合区,district,Jiangsu,downstream,南京市,1478.0601004123841,320116
320117,溧水区,district,Jiangsu,downstream,南京市,1064.9199177452813,320117
320118,高淳区,district,Jiangsu,downstream,南京市,792.8519752577324,320118
320205,锡山区,district,Jiangsu,downstream,无锡市,396.4060707966659,320205
320206,惠山区,district,Jiangsu,downstream,无锡市,320.3640091890571,320206
320211,滨湖区,district,Jiangsu,downstream,无锡市,628.3323489060675,320211
320213,梁溪区,district,Jiangsu,downstream,无锡市,73.66172890513377,320213
320214,新吴区,district,Jiangsu,downstream,无锡市,232.93729214492208,320214
320281,江阴市,district,Jiangsu,downstream,无锡市,992.639828791465,320281
320282,宜兴市,district,Jiangsu,downstream,无锡市,2035.5012036349312,320282
320302,鼓楼区,district,Jiangsu,downstream,徐州市,92.24878164637303,320302
320303,云龙区,district,Jiangsu,downstream,徐州市,113.70952716123972,320303
320305,贾汪区,district,Jiangsu,downstream,徐州市,749.5813443450234,320305
320311,泉山区,district,Jiangsu,downstream,徐州市,102.045861920159,320311
320312,铜山区,district,Jiangsu,downstream,徐州市,1940.3269557387719,320312
320321,丰县,district,Jiangsu,downstream,徐州市,1451.6458193349029,320321
320322,沛县,district,Jiangsu,downstream,徐州市,1251.4236000069698,320322
320324,睢宁县,district,Jiangsu,downstream,徐州市,1770.791427230218,320324
320381,新沂市,district,Jiangsu,downstream,徐州市,1589.4878674322524,320381
320382,邳州市,district,Jiangsu,downstream,徐州市,2078.7414565825325,320382
320402,天宁区,district,Jiangsu,downstream,常州市,153.92678229660365,320402
320404,钟楼区,district,Jiangsu,downstream,常州市,133.655530886535,320404
320411,新北区,district,Jiangsu,downstream,常州市,506.51166624299407,320411
320412,武进区,district,Jiangsu,downstream,常州市,1062.2414873534183,320412
320413,金坛区,district,Jiangsu,downstream,常州市,974.8288943063533,320413
320481,溧阳市,district,Jiangsu,downstream,常州市,1534.1967283897823,320481
320505,虎丘区,district,Jiangsu,downstream,苏州市,338.07353030209595,320505
320506,吴中区,district,Jiangsu,downstream,苏州市,2474.7398339937363,320506
320507,相城区,district,Jiangsu,downstream,苏州市,485.6949711702668,320507
320508,姑苏区,district,Jiangsu,downstream,苏州市,81.63607247815474,320508
320509,吴江区,district,Jiangsu,downstream,苏州市,1226.8678166664693,320509
320581,常熟市,district,Jiangsu,downstream,苏州市,1263.5320025418011,320581
320582,张家港市,district,Jiangsu,downstream,苏州市,1006.746726992053,320582
320583,昆山市,district,Jiangsu,downstream,苏州市,930.703964160028,320583
320585,太仓市,district,Jiangsu,downstream,苏州市,821.6016254726271,320585
320602,崇川区,district,Jiangsu,downstream,南通市,583.15696560726,320602
320612,通州区,district,Jiangsu,downstream,南通市,1453.623570855389,320612
320623,如东县,district,Jiangsu,downstream,南通市,2280.3574580161744,320623
320681,启东市,district,Jiangsu,downstream,南通市,1684.1964847968402,320681
320682,如皋市,district,Jiangsu,downstream,南通市,1565.6378725398095,320682
320684,海门区,district,Jiangsu,downstream,南通市,1134.9590075904266,320684
320685,海安市,district,Jiangsu,downstream,南通市,1163.7136723869587,320685
320703,连云区,district,Jiangsu,downstream,连云港市,771.5167475157092,320703
320706,海州区,district,Jiangsu,downstream,连云港市,731.335269316578,320706
320707,赣榆区,district,Jiangsu,downstream,连云港市,1465.6183119141713,320707
320722,东海县,district,Jiangsu,downstream,连云港市,2034.442477712832,320722
320723,灌云县,district,Jiangsu,downstream,连云港市,1540.9345054932053,320723
320724,灌南县,district,Jiangsu,downstream,连云港市,1036.8118451053438,320724
320803,淮安区,district,Jiangsu,downstream,淮安市,1468.8906005772803,320803
320804,淮阴区,district,Jiangsu,downstream,淮安市,1304.2315640307813,320804
320812,清江浦区,district,Jiangsu,downstream,淮安市,434.9247840758055,320812
320813,洪泽区,district,Jiangsu,downstream,淮安市,1287.2702355140539,320813
320826,涟水县,district,Jiangsu,downstream,淮安市,1673.9733279768689,320826
320830,盱眙县,district,Jiangsu,downstream,淮安市,2498.75580599758,320830
320831,金湖县,district,Jiangsu,downstream,淮安市,1395.2002328971842,320831
320902,亭湖区,district,Jiangsu,downstream,盐城市,1002.3686891991138,320902
320903,盐都区,district,Jiangsu,downstream,盐城市,1049.8133044103502,320903
320904,大丰区,district,Jiangsu,downstream,盐城市,2878.4565488275807,320904
320921,响水县,district,Jiangsu,downstream,盐城市,1409.4500776222028,320921
320922,滨海县,district,Jiangsu,downstream,盐城市,1965.500889433429,320922
320923,阜宁县,district,Jiangsu,downstream,盐城市,1439.5754516156999,320923
320924,射阳县,district,Jiangsu,downstream,盐城市,2576.5866684183775,320924
320925,建湖县,district,Jiangsu,downstream,盐城市,1151.3803370439462,320925
320981,东台市,district,Jiangsu,downstream,盐城市,2544.6539510166813,320981
321002,广陵区,district,Jiangsu,downstream,扬州市,341.4026162526704,321002
321003,邗江区,district,Jiangsu,downstream,扬州市,640.9169191281347,321003
321012,江都区,district,Jiangsu,downstream,扬州市,1321.734634421912,321012
321023,宝应县,district,Jiangsu,downstream,扬州市,1471.609224237928,321023
321081,仪征市,district,Jiangsu,downstream,扬州市,902.0729486956375,321081
321084,高邮市,district,Jiangsu,downstream,扬州市,1892.3586767242284,321084
321102,京口区,district,Jiangsu,downstream,镇江市,345.04745151781736,321102
321111,润州区,district,Jiangsu,downstream,镇江市,123.23421484166573,321111
321112,丹徒区,district,Jiangsu,downstream,镇江市,606.200278591219,321112
321181,丹阳市,district,Jiangsu,downstream,镇江市,1048.9334707086562,321181
321182,扬中市,district,Jiangsu,downstream,镇江市,320.4074770426876,321182
321183,句容市,district,Jiangsu,downstream,镇江市,1382.2327725612574,321183
321202,海陵区,district,Jiangsu,downstream,泰州市,387.96140922554656,321202
321203,高港区,district,Jiangsu,downstream,泰州市,322.9791448215057,321203
321204,姜堰区,district,Jiangsu,downstream,泰州市,861.1815363527528,321204
321281,兴化市,district,Jiangsu,downstream,泰州市,2394.832370310123,321281
321282,靖江市,district,Jiangsu,downstream,泰州市,651.0487483897664,321282
321283,泰兴市,district,Jiangsu,downstream,泰州市,1175.6776743360113,321283
321302,宿城区,district,Jiangsu,downstream,宿迁市,1019.8923780899019,321302
321311,宿豫区,district,Jiangsu,downstream,宿迁市,1124.95695669411,321311
321322,沭阳县,district,Jiangsu,downstream,宿迁市,2305.461586544088,321322
321323,泗阳县,district,Jiangsu,downstream,宿迁市,1379.48546661809,321323
321324,泗洪县,district,Jiangsu,downstream,宿迁市,2700.684493187553,321324
330102,上城区,district,Zhejiang,downstream,杭州市,120.23861526526606,330102
330105,拱墅区,district,Zhejiang,downstream,杭州市,98.57657739062329,330105
330106,西湖区,district,Zhejiang,downstream,杭州市,311.41437016367126,330106
330108,滨江区,district,Zhejiang,downstream,杭州市,71.03532845427486,330108
330109,萧山区,district,Zhejiang,downstream,杭州市,998.1588784339368,330109
330110,余杭区,district,Zhejiang,downstream,杭州市,948.3171745451365,330110
330111,富阳区,district,Zhejiang,downstream,杭州市,1826.9152836895587,330111
330112,临安区,district,Zhejiang,downstream,杭州市,3110.6944494541794,330112
330114,钱塘区,district,Zhejiang,downstream,杭州市,522.2624498897535,330114
330113,临平区,district,Zhejiang,downstream,杭州市,282.67951494420026,330113
330122,桐庐县,district,Zhejiang,downstream,杭州市,1836.3702949641602,330122
330127,淳安县,district,Zhejiang,downstream,杭州市,4423.373509961945,330127
330182,建德市,district,Zhejiang,downstream,杭州市,2325.936264706112,330182
330203,海曙区,district,Zhejiang,downstream,宁波市,592.761668530871,330203
330205,江北区,district,Zhejiang,downstream,宁波市,208.47894935377983,330205
330206,北仑区,district,Zhejiang,downstream,宁波市,671.2116836368905,330206
330211,镇海区,district,Zhejiang,downstream,宁波市,271.373357945431,330211
330212,鄞州区,district,Zhejiang,downstream,宁波市,832.0798742124622,330212
330213,奉化区,district,Zhejiang,downstream,宁波市,1342.7525621118245,330213
330225,象山县,district,Zhejiang,downstream,宁波市,1510.7799775122069,330225
330226,宁海县,district,Zhejiang,downstream,宁波市,1903.5766269444198,330226
330281,余姚市,district,Zhejiang,downstream,宁波市,1537.593455814174,330281
330282,慈溪市,district,Zhejiang,downstream,宁波市,1486.8680257906806,330282
330302,鹿城区,district,Zhejiang,downstream,温州市,291.52318862318873,330302
330303,龙湾区,district,Zhejiang,downstream,温州市,321.8454801080001,330303
330304,瓯海区,district,Zhejiang,downstream,温州市,465.02983837852247,330304
330305,洞头区,district,Zhejiang,downstream,温州市,355.0367821272163,330305
330324,永嘉县,district,Zhejiang,downstream,温州市,2675.8904197623315,330324
330326,平阳县,district,Zhejiang,downstream,温州市,980.775435276393,330326
330327,苍南县,district,Zhejiang,downstream,温州市,1230.013925688285,330327
330328,文成县,district,Zhejiang,downstream,温州市,1293.6546520131037,330328
330329,泰顺县,district,Zhejiang,downstream,温州市,1767.7716534602278,330329
330381,瑞安市,district,Zhejiang,downstream,温州市,1302.5359559800822,330381
330382,乐清市,district,Zhejiang,downstream,温州市,1438.5762025574156,330382
330383,龙港市,district,Zhejiang,downstream,温州市,157.72616371921362,330383
330402,南湖区,district,Zhejiang,downstream,嘉兴市,435.80188444724547,330402
330411,秀洲区,district,Zhejiang,downstream,嘉兴市,549.3896986333465,330411
330421,嘉善县,district,Zhejiang,downstream,嘉兴市,506.2871694046178,330421
330424,海盐县,district,Zhejiang,downstream,嘉兴市,942.9784209627586,330424
330481,海宁市,district,Zhejiang,downstream,嘉兴市,863.0786230775541,330481
330482,平湖市,district,Zhejiang,downstream,嘉兴市,581.6237372109991,330482
330483,桐乡市,district,Zhejiang,downstream,嘉兴市,727.9493581567287,330483
330502,吴兴区,district,Zhejiang,downstream,湖州市,862.6984148765138,330502
330503,南浔区,district,Zhejiang,downstream,湖州市,702.3973339475092,330503
330521,德清县,district,Zhejiang,downstream,湖州市,939.4070902988325,330521
330522,长兴县,district,Zhejiang,downstream,湖州市,1433.6922371164071,330522
330523,安吉县,district,Zhejiang,downstream,湖州市,1886.0989656016957,330523
330602,越城区,district,Zhejiang,downstream,绍兴市,658.5333778418017,330602
330603,柯桥区,district,Zhejiang,downstream,绍兴市,1069.7839196898187,330603
330604,上虞区,district,Zhejiang,downstream,绍兴市,1235.4799123314447,330604
330624,新昌县,district,Zhejiang,downstream,绍兴市,1220.4103228934441,330624
330681,诸暨市,district,Zhejiang,downstream,绍兴市,2313.840300093012,330681
330683,嵊州市,district,Zhejiang,downstream,绍兴市,1781.626154894596,330683
330702,婺城区,district,Zhejiang,downstream,金华市,1389.4531093624198,330702
330703,金东区,district,Zhejiang,downstream,金华市,663.9525709403498,330703
330723,武义县,district,Zhejiang,downstream,金华市,1580.884270243928,330723
330726,浦江县,district,Zhejiang,downstream,金华市,891.7414939670243,330726
330727,磐安县,district,Zhejiang,downstream,金华市,1184.9866293902126,330727
330781,兰溪市,district,Zhejiang,downstream,金华市,1304.8308785072343,330781
330782,义乌市,district,Zhejiang,downstream,金华市,1107.7412235881714,330782
330783,东阳市,district,Zhejiang,downstream,金华市,1755.0869854682837,330783
330784,永康市,district,Zhejiang,downstream,金华市,1042.0813570813693,330784
330802,柯城区,district,Zhejiang,downstream,衢州市,604.230260246953,330802
330803,衢江区,district,Zhejiang,downstream,衢州市,1752.2631906767328,330803
330822,常山县,district,Zhejiang,downstream,衢州市,1098.3065419088914,330822
330824,开化县,district,Zhejiang,downstream,衢州市,2232.164306461802,330824
330825,龙游县,district,Zhejiang,downstream,衢州市,1143.7202967945364,330825
330881,江山市,district,Zhejiang,downstream,衢州市,2017.9097064817954,330881
330902,定海区,district,Zhejiang,downstream,舟山市,612.6794068431582,330902
330903,普陀区,district,Zhejiang,downstream,舟山市,499.8891374247891,330903
330921,岱山县,district,Zhejiang,downstream,舟山市,347.2254640771381,330921
330922,嵊泗县,district,Zhejiang,downstream,舟山市,155.16190246716923,330922
331002,椒江区,district,Zhejiang,downstream,台州市,365.1461131717215,331002
331003,黄岩区,district,Zhejiang,downstream,台州市,989.5836642543163,331003
331004,路桥区,district,Zhejiang,downstream,台州市,360.5691860238901,331004
331022,三门县,district,Zhejiang,downstream,台州市,1230.0317536353416,331022
331023,天台县,district,Zhejiang,downstream,台州市,1423.229486015891,331023
331024,仙居县,district,Zhejiang,downstream,台州市,1999.9174418995105,331024
331081,温岭市,district,Zhejiang,downstream,台州市,1097.2178491184643,331081
331082,临海市,district,Zhejiang,downstream,台州市,2266.0441453174194,331082
331083,玉环市,district,Zhejiang,downstream,台州市,637.9597772076177,331083
331102,莲都区,district,Zhejiang,downstream,丽水市,1503.0729750549303,331102
331121,青田县,district,Zhejiang,downstream,丽水市,2474.8929577491263,331121
331122,缙云县,district,Zhejiang,downstream,丽水市,1498.9865951356003,331122
331123,遂昌县,district,Zhejiang,downstream,丽水市,2533.5870734968,331123
331124,松阳县,district,Zhejiang,downstream,丽水市,1402.9725718422874,331124
331125,云和县,district,Zhejiang,downstream,丽水市,976.5369380411703,331125
331126,庆元县,district,Zhejiang,downstream,丽水市,1895.3146670958868,331126
331127,景宁畲族自治县,district,Zhejiang,downstream,丽水市,1937.0193188129406,331127
