model,type,n_params,n_seeds,RMSE,MAE,R2,PearsonR,WillmottD,KGE,Bias,within_county_R2,residual_MoranI,shock_RMSE,strideH_R2,raw_lst_c_R2,RMSE_seed_mean,RMSE_seed_std,epochs_run,best_val_RMSE,dRMSE_vs_PERSIST,significant
Climatology,trivial,0,0,0.9611,,-0.0394,,,,,0.0000,,,,,,,0,,,
CountyClimatology,trivial,0,0,0.6154,,0.5738,,,,,0.0000,,,,,,,0,,,
TrailingPersistence,trivial,0,0,0.7991,,0.2814,,,,,-0.9907,,,,,,,0,,,
SeasonalNaive,trivial,0,0,0.4270,,0.7948,,,,,0.5656,,,,,,,0,,,
DRSEI_AE_LSTM,deep,142274,3,0.3871,0.2878,0.8314,0.9126,,0.8987,,0.6906,0.8037,0.3614,0.8744,,,,12,0.3711,,
STGCN,deep,101730,3,0.4520,0.3446,0.7701,0.8780,,0.8390,,0.6068,0.5473,0.4659,0.8124,,,,27,0.4257,,
TFT,deep,1510850,3,0.3970,0.3003,0.8227,0.9119,,0.8067,,0.6508,0.7565,0.3742,0.8399,,,,18,0.3949,,
PERSIST,proposed,356081,3,0.3633,0.2660,0.8515,0.9231,0.9596,0.9052,0.0126,0.7092,0.8172,0.3556,0.8897,0.9718,0.3662,0.0045,27,0.3526,0.0000,
no_N1_DCRD,ablation,356081,3,0.3795,0.2778,0.8379,0.9168,0.9566,0.9071,0.0186,0.7057,0.7952,0.3593,0.8848,0.9702,0.3852,0.0036,33,0.3513,0.0162,yes
no_N5_annual,ablation,309232,3,0.3794,0.2781,0.8380,0.9185,0.9562,0.8834,0.0640,0.6874,0.7977,0.3353,0.8803,0.9696,0.3826,0.0053,25,0.3615,0.0161,yes
no_N3_moe,ablation,298142,3,0.3651,0.2673,0.8500,0.9227,0.9594,0.9046,0.0234,0.7023,0.8345,0.3564,0.8866,0.9710,0.3689,0.0026,27,0.3534,0.0018,no
no_N2b_graph,ablation,281199,3,0.3642,0.2661,0.8507,0.9229,0.9595,0.9046,0.0182,0.7045,0.8143,0.3540,0.8893,0.9715,0.3676,0.0039,25,0.3546,0.0009,no
no_N4_ecoloss,ablation,356081,3,0.3641,0.2670,0.8508,0.9227,0.9593,0.9039,0.0114,0.7075,0.8201,0.3585,0.8885,0.9715,0.3671,0.0047,27,0.3517,0.0008,no
no_N6_attr,ablation,355309,3,0.3641,0.2667,0.8508,0.9229,0.9594,0.9041,0.0179,0.7007,0.8203,0.3580,0.8867,0.9711,0.3677,0.0052,27,0.3530,0.0008,no
no_N2a_hydro,ablation,318640,3,0.3625,0.2662,0.8521,0.9234,0.9597,0.9039,0.0081,0.7052,0.8267,0.3592,0.8885,0.9712,0.3657,0.0028,26,0.3555,-0.0008,no
