driver,target,pearson_r,pearson_p,spearman_rho,spearman_p
karst_frac,recovery,0.0050606394115164785,0.8687940851223346,0.008158489896148619,0.7899975048344801
karst_frac,resistance,-0.3966148910472451,1.4798521364662993e-41,-0.5128523726600958,1.0752069401549158e-72
karst_frac,sig,0.22740487118315764,5.406497970671105e-14,0.17283893854780716,1.3108653654090651e-08
elev_mean,recovery,-0.3592883634590372,6.855975073242796e-34,-0.20156675269331178,2.973248890087578e-11
elev_mean,resistance,-0.7487795434987103,1.319447653196476e-192,-0.6878680049549504,1.5985300570396926e-150
elev_mean,sig,0.6525056957725235,1.472814228046809e-130,0.32115066192832703,4.792986401921725e-27
relief,recovery,-0.46092252269861855,2.7492188220943916e-57,-0.389178358245322,5.997417197959175e-40
relief,resistance,-0.4867742681833591,1.259869889153309e-64,-0.4770739668811191,8.473461289063468e-62
relief,sig,0.5352098594524558,3.4179915088192304e-80,0.28342177324008627,3.526824951421596e-21
slope_mean,recovery,-0.43540609996484964,1.2310915083422687e-50,-0.3591391564280853,7.323799618291482e-34
slope_mean,resistance,-0.4588503620685314,1.0015317320729762e-56,-0.4952627652814256,3.5493388346675316e-67
slope_mean,sig,0.36071738130864206,3.6369474821396696e-34,0.22309003870120375,1.6404200364364025e-13
ntl_mean,recovery,0.39606053168647076,1.956558069668527e-41,0.49931121686748914,2.0340750371793192e-68
ntl_mean,resistance,0.2894934477254759,4.583271044431237e-22,0.4784910792378384,3.3159416245787003e-62
ntl_mean,sig,0.23160975108487036,1.7930753790807886e-14,0.10788601861323212,0.000412540674356371
